제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
Arthur Miller의 後期劇에 나타난 自我認識의 양상,김상현,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903583,,KDC 842,포함
O’Neill 작품에 나타난 絶望,이수연,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903585,,KDC 842,포함
廉想涉의 初期 作品에 나타난 女人像 硏究,신명숙,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902837,,KDC 813,포함
燕巖小說의 敍述技法 硏究,신난수,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903111,,KDC 813,포함
의 구조분석,정석훈,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903014,,KDC 862,포함
아나톨 프랑스의 고독,김상수,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903337,,KDC 863,포함
Georg Buechner의 에 나타난 疎外現狀,박정희,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903588,,KDC 852,포함
金澤榮의 文學論과 作品世界,정재철,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903590,,KDC 810,포함
曹?의 硏究,김성동,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903594,,KDC 822,포함
柳夢寅의 文學論 硏究,김영운,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903596,,KDC 810,포함
Peter Handke의 언어비판을 통한 현실 인식,최경희,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902740,,KDC 852,포함
Doris Lessing의 The golden note book에 나타난 통합에의 추구,김수정,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902739,,KDC 843,포함
韓國 批評文學 硏究,김영진,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903340,,KDC 810,포함
