제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
반 토막 서현우,김해등,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5025&book_info_id=10,,,포함
"그날, 고양이가 내게로 왔다",김중미,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=63060&book_info_id=1,,,포함
채석장의 소년,염상섭,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=63060&book_info_id=10,,,포함
어둠 속 어딘가,월터 딘 마이어스/이승숙,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=63060&book_info_id=2,,,포함
여행자 예찬,프란츠 카프카/ 이준미,단편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5019&book_info_id=1,,,포함
"멋진, 기막히게 멋진 여행",마티스 더 레이우,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=46999&book_info_id=8,,,포함
이름을 훔치는 페퍼 루,제럴딘 머코크런/ 조동섭,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5015&book_info_id=1,,,포함
꾀주머니 토끼 조모 - 서아프리카 옛이야기,제럴드 맥더멋,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5015&book_info_id=10,,,포함
우포늪 가시연꽃,신응섭,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5003&book_info_id=10,,,포함
세상에서 가장 완벽한 교실,유진 옐친/김영선,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5037&book_info_id=1,,,포함
행복을 찾아 나선 스위티 파이,크리스 반 알스버그/김하현,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=45640&book_info_id=9,,,포함
그곳에 가면 누구나 행복해진다,강미은,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5004&book_info_id=8,,,포함
"유럽, 소설에 빠지다 1, 2",잉고 슐체 외/ 노선정 외,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5001&book_info_id=1,,,포함
