제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
방바닥이 속삭인다:정은호 시집,정은호,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030574&isbn=9791158964252&mid=b30201000000,문학의전당,,포함
너에게 모든 것을 보여주려고:박소유 시집,박소유,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030565&isbn=9791158964184&mid=b30201000000,시인동네,,포함
업무일지:옥빈 시집,옥빈,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030586&isbn=9788939230361&mid=b30201000000,실천문학사,,포함
우리만 모르게 새가 태어난다최서진 시집,최서진,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030588&isbn=9791187756354&mid=b30201000000,파란,,포함
유리 동물원:양수덕 시집,양수덕,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030589&isbn=9788960214040&mid=b30201000000,천년의시작,,포함
이제 와서 사랑을 말하는 건 미친 짓이야:오광수 시집,오광수,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030590&isbn=9788992219815&mid=b30201000000,애지,,포함
자칭 씨의 오지 입문기:조미희 시집,조미희,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030591&isbn=9788983927477&mid=b30201000000,문학수첩,,포함
파헤치기 쉬운 삶:정다운 시집,정다운,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030599&isbn=9791187756330&mid=b30201000000,파란,,포함
텔레파시폰의 시간:박재연 시집,박재연,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030597&isbn=9788961042284&mid=b30201000000,한국문연,,포함
카뮈에게:이명수 시집,이명수,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030595&isbn=9788993541564&mid=b30201000000,시로여는세상,,포함
